timestamp,bitcoin,ethereum,solana,usdt,usd_idr
2025-06-09T11:12:39.036Z,1744625943,41221825,2525559,16269.87,16259.21
2025-06-09T11:23:03.353Z,1748073131,41275049,2531883,16283.76,16273.19
2025-06-09T11:33:50.569Z,1750982113,41362088,2539926,16301.97,16289.85
2025-06-09T11:42:51.051Z,1752204467,41410188,2542926,16300.98,16283.81
2025-06-09T11:49:57.468Z,1753279270,41408373,2542970,16293.95,16285.93
2025-06-09T11:57:10.267Z,1752553693,41376229,2539638,16286.19,16278.45
2025-06-09T12:35:14.128Z,1753295521,41346360,2526356,16286.71,16289.24
2025-06-09T13:17:29.924Z,1754190585,41393868,2531047,16289.08,16272.02
2025-06-09T13:45:28.979Z,1750597336,41277265,2517301,16298.54,16273.33
2025-06-09T13:55:39.466Z,1745825354,41128366,2503360,16294.63,16282.98
2025-06-09T14:13:47.398Z,1748801749,41099261,2503647,16299.58,16257.26
2025-06-09T14:37:09.473Z,1754675324,41278571,2515003,16292.62,16301.7
2025-06-09T14:50:49.485Z,1756536153,41304843,2519153,16290.12,16261.29
2025-06-09T14:58:06.106Z,1753224784,41230917,2511037,16291.19,16281.03
2025-06-09T15:20:21.842Z,1756248783,41345227,2529545,16291.58,16300.79
2025-06-09T15:38:32.143Z,1757806044,41387568,2527957,16298.07,16299.02
2025-06-09T15:49:05.734Z,1756144695,41355210,2527676,16290.42,16256.56
2025-06-09T15:56:25.371Z,1756682710,41375597,2529535,16292,16291.56
2025-06-09T16:19:09.179Z,1757363808,41441880,2530955,16294.83,16324.51
2025-06-09T16:45:44.683Z,1758735662,41805263,2544007,16288.8,16278.84
2025-06-09T16:58:37.990Z,1756715100,41730064,2540353,16284.72,16277.77
2025-06-09T17:17:51.246Z,1761356746,41822876,2545892,16283.1,16276.3
2025-06-09T17:33:13.669Z,1763554394,41802421,2541952,16283.97,16292.16
2025-06-09T17:43:42.785Z,1763105769,41802595,2540673,16284.16,16276.89
2025-06-09T17:51:01.542Z,1763786005,41890641,2542445,16284.59,16273.15
2025-06-09T17:58:09.204Z,1763987448,41896980,2542181,16285.01,16266.77
2025-06-09T18:27:48.228Z,1766314253,41955076,2549392,16285.84,16280.78
2025-06-09T18:48:26.131Z,1764808057,41960064,2542737,16285.5,16287.41
2025-06-09T18:57:01.400Z,1764604666,41965468,2543569,16284.34,16274.55
2025-06-09T19:13:00.673Z,1767570432,42023688,2545452,16285.71,16283.76
2025-06-09T19:26:23.544Z,1768328362,42064041,2544963,16286.36,16404.19
2025-06-09T19:35:39.702Z,1768603049,42097344,2540212,16286.96,16287.82
2025-06-09T19:43:00.865Z,1767834372,42086684,2532212,16287.31,16264.41
